Title,Author,Exclusive Shelf
Hra o trůny,George R.R. Martin,read
Střet králů,George R.R. Martin,read
Bouře mečů,George R.R. Martin,read
Hostina pro vrány,George R.R. Martin,read
Tanec s draky,George R.R. Martin,read
Rytíř sedmi království,George R.R. Martin,read
Píseň krve,Anthony Ryan,read
Pán věže,Anthony Ryan,read
Královna ohně,Anthony Ryan,read
Volání vlka,Anthony Ryan,read
Černá píseň,Anthony Ryan,read
Písně temnoty,Anthony Ryan,read
Vyvrhel,Anthony Ryan,read
Mučedník,Anthony Ryan,read
Poslední přání,Andrzej Sapkowski,read
Meč osudu,Andrzej Sapkowski,read
Krev elfů,Andrzej Sapkowski,read
Čas opovržení,Andrzej Sapkowski,read
Křest ohněm,Andrzej Sapkowski,read
Věž vlaštovky,Andrzej Sapkowski,read
Paní jezera,Andrzej Sapkowski,read
Bouřková sezóna,Andrzej Sapkowski,read
Rozcestí krkavců,Andrzej Sapkowski,read
Pán prstenů,J.R.R. Tolkien,read
Dvě věže,J.R.R. Tolkien,read
Návrat krále,J.R.R. Tolkien,read
Hobit,J.R.R. Tolkien,read
Pán prstenů,J.R.R. Tolkien,read
Hobit,J.R.R. Tolkien,read
Barva kouzel,Terry Pratchett,read
Lehké fantastično,Terry Pratchett,read
Equal Rites,Terry Pratchett,read
Sourcery,Terry Pratchett,read
Soudné sestry,Terry Pratchett,read
Mort,Terry Pratchett,read
Moc,John Gwynne,read
Stopařův průvodce galaxií 1,Douglas Adams,read
Stopařův průvodce galaxií 2,Douglas Adams,read
Harry Potter a Kámen mudrců,J.K. Rowlingova,read
Harry Potter a Tajemná komnata,J.K. Rowlingova,read
Harry Potter a vězeň z Azkabanu,J.K. Rowlingova,read
Harry Potter a Ohnivý pohár,J.K. Rowlingova,read
Harry Potter a Fénixův řád,J.K. Rowlingova,read
Harry Potter a princ dvojí krve,J.K. Rowlingova,read
Harry Potter a relikvie smrti,J.K. Rowlingova,read
Mistborn,Brandon Sanderson,read
Mistborn: Pramen povýšení,Brandon Sanderson,read
Mistborn: Hrdina věků,Brandon Sanderson,read
Osamělý vlk,Jo Nesbo,read
Žárlivost a jiné povídky,Jo Nesbo,read
Krysí ostrov a jiné povídky,Jo Nesbo,read
Království,Jo Nesbo,read
Král,Jo Nesbo,read
Lovci hlav,Jo Nesbo,read
Netopýr,Jo Nesbo,read
Švábi,Jo Nesbo,read
Červenka,Jo Nesbo,read
Nemesis,Jo Nesbo,read
Pentagram,Jo Nesbo,read
Spasitel,Jo Nesbo,read
Sněhulák,Jo Nesbo,read
Levhart,Jo Nesbo,read
Přízrak,Jo Nesbo,read
Policie,Jo Nesbo,read
Policie,Jo Nesbo,read
Žízeň,Jo Nesbo,read
Nůž,Jo Nesbo,read
Zatmění,Jo Nesbo,read
Macbeth,Jo Nesbo,read
