author,book,language,desc
J.R.R. Tolkien,Hobit,CZ,Mame vicekrat
J.R.R. Tolkien,The fellowship of the ring,EN,Mame v CZ
J.R.R. Tolkien,The hobbit,EN,Mame v CZ
William Styron,Sophiina volba,CZ,Mame vicekrat
Vladimir Liska,Otazniky ceske historie,CZ,Nezajimava
Jo Nesbo,Police,EN,Mame v CZ
Jaroslav Kmenta,Babisovo palermo II,CZ,Mame vicekrat
Dan Brown,Inferno,EN,Mame v CZ
Keith Haring,Deniky,CZ,Nezajimava
Nadacni fond Usmev Seniorum,Protoze stari zije ze vzpominek,CZ,Nezajimava
Margaret Mitchellova,Jih proti Severu 1,CZ,Nezajimava
J. Canfield,Slepici polevka pro milovniky kocek,CZ,Nezajimava
Karel Jaromir Erben,Kytice,CZ,Starsi vydani mame vickrat
Joe de Sena,Spartan ve forme,CZ,Nezajimava
Tom Hodgkinson,Liny rodic,CZ,Nezajimava
Benedicta Hubnerova,Ceske stopy v Rime,CZ,Nezajimava
Helen Dielding,Bridget Jones: Sobrevivire,ES,Darovat
Pavel Litvinov,Ucebnice Espanol,ES/RU,Darovat
Unkown,Ucebnice Espanol,ES/RU,Darovat
Matt Walker,Certifieds Ethical Hacker,EN,Darovat/Prodat
Max Ulichney,Procreate,EN,Darovat/Prodat
Unknown,Proc ma zebra pruhy aneb chytrej jak radio 2,CZ,Vratit rodicum
