Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2246644,Modrá rokle,Jaroslav Foglar,"Foglar, Jaroslav",,"=""8070333715""","=""9788070333716""",0,Olympia,Hardcover,174,1995,,,2026/05/10,,,read,,,,1,0
10782212,Hoši od Bobří řeky,Jaroslav Foglar,"Foglar, Jaroslav",,"=""""","=""""",0,Olympia,,195,2005,1937,,2026/05/10,,,read,,,,1,0
2246646,"Tajemství Velkého Vonta (Stínadelská trilogie, #3)",Jaroslav Foglar,"Foglar, Jaroslav",,"=""8070331615""","=""9788070331613""",0,Olympia,Hardcover,205,1991,1991,,2026/05/10,,,read,,,,1,0
12498396,"Stínadla se bouří (Stínadelská trilogie, #2)",Jaroslav Foglar,"Foglar, Jaroslav",,"=""8070333723""","=""9788070333723""",0,Olympia,Hardcover,190,1995,1970,,2026/05/10,,,read,,,,1,0
4389347,"Záhada hlavolamu (Stínadelská trilogie, #1)",Jaroslav Foglar,"Foglar, Jaroslav",,"=""8070334932""","=""""",0,Olympia,Hardcover,190,1999,1941,,2026/05/10,,,read,,,,1,0
944073,"The Blade Itself (The First Law, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575079797""","=""9780575079793""",0,Gollancz,Paperback,515,2007,2006,,2026/05/10,to-read,to-read (#3),to-read,,,,0,0
13107402,"Osudy dobrého vojáka Švejka za světové války, 1. díl – V zázemí (Osudy dobrého vojáka Švejka za světové války #1)",Jaroslav Hašek,"Hašek, Jaroslav",,"=""""","=""""",3,Práce,Paperback,187,1951,1921,2026/02/17,2026/05/10,,,read,,,,1,0
9578671,Šógun,James Clavell,"Clavell, James",Jarmila Emmerová,"=""8024224488""","=""9788024224480""",0,Knižní klub,Hardcover,983,2009,1975,,2026/05/10,,,read,,,,1,0
35836686,Tchaj-pan,James Clavell,"Clavell, James",,"=""8072026887""","=""9788072026883""",0,IKAR,Hardcover,606,2000,1966,,2026/05/10,,,read,,,,1,0
8254212,Král Krysa,James Clavell,"Clavell, James","Karel Kyncl, Jiřina Kynclová","=""8024209306""","=""9788024209302""",0,Knižní klub,Hardcover,319,2003,1962,,2026/05/10,,,read,,,,1,0
