author_name,cz_title,en_title,language,desc
George R.R. Martin,Hra o trůny,A Game of Thrones,CZ,GoT 1.dil
George R.R. Martin,Střet králů,A Clash of Kings,CZ,GoT 2.dil
George R.R. Martin,Bouře mečů,A Storm of Swords,CZ,GoT 3.dil
George R.R. Martin,Hostina pro vrány,A Feast for Crows,CZ,GoT 4.dil
George R.R. Martin,Tanec s draky,A Dance with Dragons,CZ,GoT 5.dil
George R.R. Martin,Rytíř sedmi království,A Knight of the Seven Kingdoms,CZ,
Anthony Ryan,Píseň krve,Blood Song,CZ,1.dil o Velinu Al Sornovi
Anthony Ryan,Pán věže,Tower Lord,CZ,2.dil o Velinu Al Sornovi
Anthony Ryan,Královna ohně,Queen of Fire,CZ,3.dil o Velinu Al Sornovi
Anthony Ryan,Volání vlka,The Wolf's Call,CZ,4.dil o Velinu Al Sornovi
Anthony Ryan,Černá píseň,The Black Song,CZ,5.dil o Velinu Al Sornovi
Anthony Ryan,Písně temnoty,Raven's Shadow (short stories),CZ,Povidky ze sveta Velina Al Sorny
Anthony Ryan,Vyvrhel,The Pariah,CZ,1.dil o Alwynovi Pisarovi
Anthony Ryan,Mučedník,The Martyr,CZ,2.dil o Alwynovi Pisarovi
Anthony Ryan,Zrádce,The Traitor,EN,3.dil o Alwynovi Pisarovi
Anthony Ryan,Oheň probuzení,The Waking Fire,CZ,1.dil Draconis Memoria
Andrzej Sapkowski,Poslední přání,The Last Wish,CZ,Povidky
Andrzej Sapkowski,Meč osudu,Sword of Destiny,CZ,Povdiky
Andrzej Sapkowski,Krev elfů,Blood of Elves,CZ,1.dil pribehu o Ciri
Andrzej Sapkowski,Čas opovržení,The Time of Contempt,CZ,2.dil pribehu o Ciri
Andrzej Sapkowski,Křest ohněm,Baptism of Fire,CZ,3.dil pribehu o Ciri
Andrzej Sapkowski,Věž vlaštovky,The Tower of Swallows,CZ,4.dil pribehu o Ciri
Andrzej Sapkowski,Paní jezera,The Lady of the Lake,CZ,5.dil pribehu o Ciri
Andrzej Sapkowski,Bouřková sezóna,Season of Storms,CZ,
Andrzej Sapkowski,Rozcestí krkavců,Crossroads of Ravens,CZ,
J.R.R. Tolkien,Pán prstenů,The Fellowship of the Ring,CZ,LotR 1.dil
J.R.R. Tolkien,Dvě věže,The Two Towers,CZ,LotR 2.dil
J.R.R. Tolkien,Návrat krále,The Return of the King,CZ,LotR 3.dil
J.R.R. Tolkien,Húrinovy děti,The Children of Hurin,CZ,Nedokoncene povidky vydane synem
J.R.R. Tolkien,Hobit,The Hobbit,CZ,
J.R.R. Tolkien,Pán prstenů: Společenstvo prstenů,The Fellowship of the Ring,EN,
J.R.R. Tolkien,Hobit,The Hobbit,EN,
